#item,Time,MainData,MainUnit,MainFunc,Sub Data,SubUnit,SubFunc
1, 12:02:10.4,027,, C [T1],025,, C [T2]
2, 12:02:15.4,027,, C [T1],025,, C [T2]
3, 12:02:20.4,028,, C [T1],025,, C [T2]
4, 12:02:25.4,028,, C [T1],025,, C [T2]
5, 12:02:30.4,029,, C [T1],026,, C [T2]
6, 12:02:35.4,029,, C [T1],026,, C [T2]
7, 12:02:40.4,029,, C [T1],026,, C [T2]
8, 12:02:45.4,030,, C [T1],026,, C [T2]
9, 12:02:50.4,030,, C [T1],026,, C [T2]
10, 12:02:55.4,031,, C [T1],027,, C [T2]
11, 12:03:00.4,031,, C [T1],027,, C [T2]
12, 12:03:05.4,031,, C [T1],027,, C [T2]
13, 12:03:10.4,032,, C [T1],027,, C [T2]
14, 12:03:15.5,032,, C [T1],027,, C [T2]
15, 12:03:20.5,032,, C [T1],028,, C [T2]
16, 12:03:25.5,033,, C [T1],028,, C [T2]
17, 12:03:30.5,033,, C [T1],028,, C [T2]
18, 12:03:35.5,033,, C [T1],028,, C [T2]
19, 12:03:40.5,034,, C [T1],029,, C [T2]
20, 12:03:45.5,034,, C [T1],029,, C [T2]
21, 12:03:50.5,034,, C [T1],029,, C [T2]
22, 12:03:55.5,035,, C [T1],029,, C [T2]
23, 12:04:00.5,035,, C [T1],030,, C [T2]
24, 12:04:05.5,035,, C [T1],030,, C [T2]
25, 12:04:10.5,036,, C [T1],030,, C [T2]
26, 12:04:15.5,036,, C [T1],030,, C [T2]
27, 12:04:20.6,036,, C [T1],031,, C [T2]
28, 12:04:25.6,036,, C [T1],031,, C [T2]
29, 12:04:30.6,036,, C [T1],031,, C [T2]
30, 12:04:35.6,037,, C [T1],031,, C [T2]
31, 12:04:40.6,037,, C [T1],032,, C [T2]
32, 12:04:45.6,037,, C [T1],032,, C [T2]
33, 12:04:50.6,037,, C [T1],032,, C [T2]
34, 12:04:55.6,038,, C [T1],032,, C [T2]
35, 12:05:00.6,038,, C [T1],032,, C [T2]
36, 12:05:05.6,038,, C [T1],033,, C [T2]
37, 12:05:10.6,038,, C [T1],033,, C [T2]
38, 12:05:15.6,038,, C [T1],033,, C [T2]
39, 12:05:20.6,039,, C [T1],033,, C [T2]
40, 12:05:25.7,039,, C [T1],033,, C [T2]
41, 12:05:30.7,039,, C [T1],034,, C [T2]
42, 12:05:35.7,039,, C [T1],034,, C [T2]
43, 12:05:40.7,039,, C [T1],034,, C [T2]
44, 12:05:45.7,040,, C [T1],034,, C [T2]
45, 12:05:50.7,040,, C [T1],035,, C [T2]
46, 12:05:55.7,040,, C [T1],035,, C [T2]
47, 12:06:00.7,040,, C [T1],035,, C [T2]
48, 12:06:05.7,040,, C [T1],035,, C [T2]
49, 12:06:10.7,041,, C [T1],035,, C [T2]
50, 12:06:15.7,041,, C [T1],036,, C [T2]
51, 12:06:20.7,041,, C [T1],036,, C [T2]
52, 12:06:25.8,041,, C [T1],036,, C [T2]
53, 12:06:30.8,041,, C [T1],036,, C [T2]
54, 12:06:35.8,041,, C [T1],036,, C [T2]
55, 12:06:40.8,041,, C [T1],037,, C [T2]
56, 12:06:45.8,042,, C [T1],037,, C [T2]
57, 12:06:50.8,042,, C [T1],037,, C [T2]
58, 12:06:55.8,042,, C [T1],037,, C [T2]
59, 12:07:00.8,042,, C [T1],037,, C [T2]
60, 12:07:05.8,042,, C [T1],037,, C [T2]
61, 12:07:10.8,042,, C [T1],038,, C [T2]
62, 12:07:15.8,043,, C [T1],038,, C [T2]
63, 12:07:20.8,043,, C [T1],038,, C [T2]
64, 12:07:25.8,043,, C [T1],038,, C [T2]
65, 12:07:30.8,043,, C [T1],038,, C [T2]
66, 12:07:35.8,043,, C [T1],039,, C [T2]
67, 12:07:40.9,043,, C [T1],039,, C [T2]
68, 12:07:45.9,043,, C [T1],039,, C [T2]
69, 12:07:50.9,044,, C [T1],039,, C [T2]
70, 12:07:55.9,044,, C [T1],039,, C [T2]
71, 12:08:00.9,044,, C [T1],039,, C [T2]
72, 12:08:05.9,044,, C [T1],040,, C [T2]
73, 12:08:10.9,044,, C [T1],040,, C [T2]
74, 12:08:15.9,044,, C [T1],040,, C [T2]
75, 12:08:20.9,044,, C [T1],040,, C [T2]
76, 12:08:25.9,044,, C [T1],040,, C [T2]
77, 12:08:30.9,045,, C [T1],040,, C [T2]
78, 12:08:35.9,045,, C [T1],040,, C [T2]
